property_id,sub_building_id,unit_type,lowest_observed_price,standard_lease_price,budget_lower_bound,comparison_status,budget_eligible,price_basis,comparison_policy,comparison_lease_months,availability_scope,comparison_note,sqft_min,source_url,trace_unit_id,trace_floorplan_id,trace_available_from,trace_lease_months,trace_rent_basis,trace_base_rent_min,trace_base_rent_max,trace_total_cost_min,trace_total_cost_max,trace_source_ref,trace_source_type,trace_retrieved_at,trace_checked_date,trace_in_unit_laundry,trace_private_kitchen_bath,trace_flooring_materials_json,trace_furnished_status
the-whit,,1br,2490,2490,2490,comparable,true,calculated_total,source_standard_lease,12,planning_range,Official current standard-lease evidence,677,https://www.scullycompany.com/apartments/new-england/new-haven-county/new-haven/the-whit/,,1-Bedroom 1-Bathroom / 677 sqft,2026-08-03,12,per_unit,2475,2475,2490,2490,docs/phase_c_evidence/the-whit_2026-07-12.md;data/whit_parsed.md,official_paste,2026-07-12,2026-07-12,unknown,unknown,[],unknown
the-whit,,2br,3415,3415,3415,comparable,true,calculated_total,source_standard_lease,11,planning_range,Official current standard-lease evidence,1114,https://www.scullycompany.com/apartments/new-england/new-haven-county/new-haven/the-whit/,,2-Bedroom 2-Bathroom / 1114 sqft,2026-05-11,11,per_unit,3400,3400,3415,3415,docs/phase_c_evidence/the-whit_2026-07-12.md;data/whit_parsed.md,official_paste,2026-07-12,2026-07-12,unknown,unknown,[],unknown
the-taft,,studio,1895,1895,1895,comparable,true,official_total,source_standard_lease,12,current_unit,Official current standard-lease evidence,424,https://www.rentcafe.com/apartments/ct/new-haven/taft-apartments/default.aspx,05O,Studio,2026-07-12,12,per_unit,,,1895,1895,docs/phase_c_evidence/the-taft_2026-07-12.md,official_paste,2026-07-12,2026-07-12,unknown,yes,[],unknown
the-taft,,1br,1999,1999,1999,comparable,true,official_total,source_standard_lease,12,current_unit,Official current standard-lease evidence,697,https://www.rentcafe.com/apartments/ct/new-haven/taft-apartments/default.aspx,05S,"1-Bedroom, 1-Bath",2026-07-12,12,per_unit,,,1999,1999,docs/phase_c_evidence/the-taft_2026-07-12.md,official_paste,2026-07-12,2026-07-12,unknown,yes,[],unknown
the-taft,,2br,2950,2950,2950,comparable,true,official_total,source_standard_lease,12,current_unit,Official current standard-lease evidence,1200,https://www.rentcafe.com/apartments/ct/new-haven/taft-apartments/default.aspx,01A,2-Bedroom Duplex,2026-08-15,12,per_unit,,,2950,2950,docs/phase_c_evidence/the-taft_2026-07-12.md,official_paste,2026-07-12,2026-07-12,unknown,yes,[],unknown
new-haven-towers,18_high,studio,2245,2370,2370,policy_comparable,true,base_rent_only,official_range_midpoint,12,planning_range,Use the midpoint of the official floorplan rent range regardless of lease term; recurring fees remain unconfirmed,,https://newhaventowers.com/floorplans/,,Studio,,12,per_unit,2245,2495,,,docs/phase_c_evidence/new-haven-towers_2026-07-12.md,official_paste,2026-07-12,2026-07-12,unknown,unknown,[],unknown
new-haven-towers,crown_towers,studio,1895,1970,1970,policy_comparable,true,base_rent_only,official_range_midpoint,12,planning_range,Use the midpoint of the official floorplan rent range regardless of lease term; recurring fees remain unconfirmed,,https://newhaventowers.com/floorplans/,,Studio South,,12,per_unit,1895,2045,,,docs/phase_c_evidence/new-haven-towers_2026-07-12.md,official_paste,2026-07-12,2026-07-12,unknown,unknown,[],unknown
new-haven-towers,madison,studio,1695,1770,1770,policy_comparable,true,base_rent_only,official_range_midpoint,12,planning_range,Use the midpoint of the official floorplan rent range regardless of lease term; recurring fees remain unconfirmed,,https://newhaventowers.com/floorplans/,,Studio - Large,,12,per_unit,1695,1845,,,docs/phase_c_evidence/new-haven-towers_2026-07-12.md,official_paste,2026-07-12,2026-07-12,unknown,unknown,[],unknown
new-haven-towers,18_high,1br,2745,2920,2920,policy_comparable,true,base_rent_only,official_range_midpoint,12,planning_range,Use the midpoint of the official floorplan rent range regardless of lease term; recurring fees remain unconfirmed,,https://newhaventowers.com/floorplans/,,1 BD 1BA Standard,,12,per_unit,2745,3095,,,docs/phase_c_evidence/new-haven-towers_2026-07-12.md,official_paste,2026-07-12,2026-07-12,unknown,unknown,[],unknown
new-haven-towers,crown_court,1br,1995,2095,2095,policy_comparable,true,base_rent_only,official_range_midpoint,12,planning_range,Use the midpoint of the official floorplan rent range regardless of lease term; recurring fees remain unconfirmed,,https://newhaventowers.com/floorplans/,,1 BD Standard,,12,per_unit,1995,2195,,,docs/phase_c_evidence/new-haven-towers_2026-07-12.md,official_paste,2026-07-12,2026-07-12,unknown,unknown,[],unknown
new-haven-towers,crown_towers,1br,2145,2220,2220,policy_comparable,true,base_rent_only,official_range_midpoint,12,planning_range,Use the midpoint of the official floorplan rent range regardless of lease term; recurring fees remain unconfirmed,,https://newhaventowers.com/floorplans/,,"1 BD, South",,12,per_unit,2145,2295,,,docs/phase_c_evidence/new-haven-towers_2026-07-12.md,official_paste,2026-07-12,2026-07-12,unknown,unknown,[],unknown
new-haven-towers,madison,1br,1975,2060,2060,policy_comparable,true,base_rent_only,official_range_midpoint,12,planning_range,Use the midpoint of the official floorplan rent range regardless of lease term; recurring fees remain unconfirmed,,https://newhaventowers.com/floorplans/,,1 BD - Large,,12,per_unit,1975,2145,,,docs/phase_c_evidence/new-haven-towers_2026-07-12.md,official_paste,2026-07-12,2026-07-12,unknown,unknown,[],unknown
new-haven-towers,18_high,2br,4095,4295,4295,policy_comparable,true,base_rent_only,official_range_midpoint,12,planning_range,Use the midpoint of the official floorplan rent range regardless of lease term; recurring fees remain unconfirmed,,https://newhaventowers.com/floorplans/,,2 BD 1 BA,,12,per_unit,4095,4495,,,docs/phase_c_evidence/new-haven-towers_2026-07-12.md,official_paste,2026-07-12,2026-07-12,unknown,unknown,[],unknown
new-haven-towers,crown_court,2br,2895,3045,3045,policy_comparable,true,base_rent_only,official_range_midpoint,12,planning_range,Use the midpoint of the official floorplan rent range regardless of lease term; recurring fees remain unconfirmed,,https://newhaventowers.com/floorplans/,,2 BD 2 BA,,12,per_unit,2895,3195,,,docs/phase_c_evidence/new-haven-towers_2026-07-12.md,official_paste,2026-07-12,2026-07-12,unknown,unknown,[],unknown
new-haven-towers,madison,2br,2895,3045,3045,policy_comparable,true,base_rent_only,official_range_midpoint,12,planning_range,Use the midpoint of the official floorplan rent range regardless of lease term; recurring fees remain unconfirmed,,https://newhaventowers.com/floorplans/,,2 BD 2 BA,,12,per_unit,2895,3195,,,docs/phase_c_evidence/new-haven-towers_2026-07-12.md,official_paste,2026-07-12,2026-07-12,unknown,unknown,[],unknown
the-archive,,studio,2232,2232,2232,policy_comparable,true,official_total,official_range_lower_bound_as_12_month,12,planning_range,Use the lowest official Total Monthly Leasing Price as the 12-month comparison price; current Studio availability is not confirmed,387,https://entrata.thearchiveapts.com/new-haven/the-archive/conventional/,,Sx1 A,,,per_unit,,,2232,2282,docs/phase_c_evidence/the-archive_2026-07-12.md,official_paste,2026-07-12,2026-07-12,unknown,unknown,[],unknown
the-archive,,1br,2464,2464,2464,policy_comparable,true,official_total,official_range_lower_bound_as_12_month,12,current_floorplan,Use the lowest official Total Monthly Leasing Price as the 12-month comparison price,503,https://entrata.thearchiveapts.com/new-haven/the-archive/conventional/,,1x1 A,2026-08-12,,per_unit,,,2464,5117,docs/phase_c_evidence/the-archive_2026-07-12.md,official_paste,2026-07-12,2026-07-12,unknown,unknown,[],unknown
the-archive,,2br,3041,3041,3041,policy_comparable,true,official_total,official_range_lower_bound_as_12_month,12,current_floorplan,Use the lowest official Total Monthly Leasing Price as the 12-month comparison price,631,https://entrata.thearchiveapts.com/new-haven/the-archive/conventional/,,2x2 Balcony A,2026-09-16,,per_unit,,,3041,5248,docs/phase_c_evidence/the-archive_2026-07-12.md,official_paste,2026-07-12,2026-07-12,unknown,unknown,[],unknown
anthem-square10,,studio,1930.25,1930.25,1930.25,comparable,true,calculated_total,source_standard_lease,12,current_unit,Official current standard-lease evidence,373,https://www.anthemsquare10.com/floorplans/s1,313,S1,2026-10-07,12,per_unit,1825,1825,1930.25,1930.25,docs/phase_c_evidence/anthem-square10_2026-07-12.md,official_page_capture,2026-07-12,2026-07-12,unknown,unknown,[],unknown
anthem-square10,,1br,2790.25,2790.25,2790.25,comparable,true,calculated_total,source_standard_lease,12,current_unit,Official current standard-lease evidence,718,https://www.anthemsquare10.com/floorplans/a1,634,A1,2026-08-07,12,per_unit,2685,2685,2790.25,2790.25,docs/phase_c_evidence/anthem-square10_2026-07-12.md,official_page_capture,2026-07-12,2026-07-12,unknown,unknown,[],unknown
anthem-square10,,2br,3440.25,3440.25,3440.25,comparable,true,calculated_total,source_standard_lease,12,current_unit,Official current standard-lease evidence,1064,https://www.anthemsquare10.com/floorplans/b2,707,B2,2026-07-12,12,per_unit,3335,3335,3440.25,3440.25,docs/phase_c_evidence/anthem-square10_2026-07-12.md,official_page_capture,2026-07-12,2026-07-12,unknown,unknown,[],unknown
the-audubon,,studio,2532,2532,2532,comparable,true,calculated_total,source_standard_lease,12,current_unit,Official current standard-lease evidence,575,https://www.theaudubonapts.com/rentestimate/studio-s1.1,220,Studio-S1.1,2026-07-13,12,per_unit,2440,2440,2532,2532,docs/phase_c_evidence/the-audubon_2026-07-12.md,official_page_capture,2026-07-12,2026-07-12,unknown,unknown,[],unknown
the-audubon,367 Orange,studio,2482,,,planning_range,false,calculated_total,none,,planning_range,,608,https://www.theaudubonapts.com/floorplans,,Studio-S4,,17,per_unit,2392,2392,2482,2482,docs/phase_c_evidence/the-audubon_2026-07-12.md,official_paste,2026-07-12,2026-07-12,unknown,unknown,[],unknown
the-audubon,367 Orange,1br,2685,2685,2685,comparable,true,calculated_total,source_standard_lease,12,current_unit,Official current standard-lease evidence,670,https://www.theaudubonapts.com/rentestimate/1-bed%2f1-bath-a3.1-367-orange,518,1 Bed/1 Bath-A3.1,2026-10-05,12,per_unit,2588,2588,2685,2685,docs/phase_c_evidence/the-audubon_2026-07-12.md,official_page_capture,2026-07-12,2026-07-12,unknown,unknown,[],unknown
the-audubon,29 Audubon Street,2br,3927,3927,3927,comparable,true,calculated_total,source_standard_lease,12,current_unit,Official current standard-lease evidence,1220,https://www.theaudubonapts.com/rentestimate/2-bed%2f2-bath-den-f1_1---29-audubon-street,102,2 Bed/2 Bath Den-F1_1,2026-07-13,12,per_unit,3830,3830,3927,3927,docs/phase_c_evidence/the-audubon_2026-07-12.md,official_page_capture,2026-07-12,2026-07-12,unknown,unknown,[],unknown
pierpont-city-crossing,,studio,2280,2280,2280,comparable,true,official_total,source_standard_lease,12,current_unit,Official current standard-lease evidence,537,https://www.rentcafe.com/apartments/ct/new-haven/pierpont-at-city-crossing/default.aspx,525,JR1,2026-07-12,12,per_unit,,,2280,7846,docs/phase_c_evidence/pierpont-city-crossing_2026-07-12.md,official_paste,2026-07-12,2026-07-12,unknown,unknown,[],unknown
pierpont-city-crossing,,1br,2754,2754,2754,comparable,true,official_total,source_standard_lease,12,current_unit,Official current standard-lease evidence,774,https://www.rentcafe.com/apartments/ct/new-haven/pierpont-at-city-crossing/default.aspx,629,A5,2026-07-12,12,per_unit,,,2754,4408,docs/phase_c_evidence/pierpont-city-crossing_2026-07-12.md,official_paste,2026-07-12,2026-07-12,unknown,unknown,[],unknown
pierpont-city-crossing,,2br,3615,3615,3615,comparable,true,official_total,source_standard_lease,12,current_unit,Official current standard-lease evidence,1039,https://www.rentcafe.com/apartments/ct/new-haven/pierpont-at-city-crossing/default.aspx,305,B1,2026-07-12,12,per_unit,,,3615,6869,docs/phase_c_evidence/pierpont-city-crossing_2026-07-12.md,official_paste,2026-07-12,2026-07-12,unknown,unknown,[],unknown
estelle,,studio,,,,not_applicable,false,unknown,not_applicable,,not_applicable,Studio is N/A for this pass; keep eligible 1BR and 2BR evidence unchanged,,https://estellenewhaven.securecafe.com/onlineleasing/estelle-new-haven/floorplans,,S1,,,per_unit,,,,,docs/phase_c_evidence/estelle_2026-07-12.md,official_page_capture,2026-07-12,2026-07-12,unknown,unknown,[],unknown
estelle,,1br,2835,2835,2835,comparable,true,calculated_total,source_standard_lease,12,current_unit,Official current standard-lease evidence,,https://estellenewhaven.securecafe.com/onlineleasing/estelle-new-haven/rentaloptions.aspx?UnitID=48066972&FloorPlanID=6409675&myOlePropertyid=2326474&MoveInDate=7/13/2026,506,A3,2026-07-13,12,per_unit,2795,2795,2835,2835,docs/phase_c_evidence/estelle_2026-07-12.md,official_page_capture,2026-07-12,2026-07-12,unknown,unknown,[],unknown
estelle,,2br,3910,3910,3910,comparable,true,calculated_total,source_standard_lease,12,current_unit,Official current standard-lease evidence,,https://estellenewhaven.securecafe.com/onlineleasing/estelle-new-haven/rentaloptions.aspx?UnitID=48066927&FloorPlanID=6409679&myOlePropertyid=2326474&MoveInDate=7/13/2026,209,B3,2026-07-13,12,per_unit,3870,3870,3910,3910,docs/phase_c_evidence/estelle_2026-07-12.md,official_page_capture,2026-07-12,2026-07-12,unknown,unknown,[],unknown
